exeution_time,device_id,value
0,033b5620-60a9-49f9-8419-1e79c7c19b97,0
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,0
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
1,033b5620-60a9-49f9-8419-1e79c7c19b97,95
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,6
1,43a50b16-34ca-42f0-998d-835efb291567,80
1,94594bd0-4789-4258-981b-c5f8a517c47f,50
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,45
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,27
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,35
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,95
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,6
1,43a50b16-34ca-42f0-998d-835efb291567,80
1,94594bd0-4789-4258-981b-c5f8a517c47f,50
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,45
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,27
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,35
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,34
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,69
1,43a50b16-34ca-42f0-998d-835efb291567,2
1,94594bd0-4789-4258-981b-c5f8a517c47f,74
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,95
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,16
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-6
3,d564aab8-09d2-4885-95cd-24ff936d635c,true
1,033b5620-60a9-49f9-8419-1e79c7c19b97,34
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,69
1,43a50b16-34ca-42f0-998d-835efb291567,2
1,94594bd0-4789-4258-981b-c5f8a517c47f,74
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,95
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,16
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-6
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,98
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,52
1,43a50b16-34ca-42f0-998d-835efb291567,99
2,94594bd0-4789-4258-981b-c5f8a517c47f,74
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,30
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,88
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-10
3,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,11
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,50
1,43a50b16-34ca-42f0-998d-835efb291567,99
1,94594bd0-4789-4258-981b-c5f8a517c47f,74
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,30
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,88
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,2
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,11
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,50
1,43a50b16-34ca-42f0-998d-835efb291567,26
1,94594bd0-4789-4258-981b-c5f8a517c47f,82
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,38
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,28
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,2
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,95
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,43
1,43a50b16-34ca-42f0-998d-835efb291567,23
1,94594bd0-4789-4258-981b-c5f8a517c47f,82
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,38
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,28
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,16
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,95
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,43
0,43a50b16-34ca-42f0-998d-835efb291567,23
1,94594bd0-4789-4258-981b-c5f8a517c47f,2
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,32
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,16
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,9
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,30
0,43a50b16-34ca-42f0-998d-835efb291567,16
0,94594bd0-4789-4258-981b-c5f8a517c47f,36
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,36
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,32
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
1,033b5620-60a9-49f9-8419-1e79c7c19b97,9
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,30
1,43a50b16-34ca-42f0-998d-835efb291567,16
1,94594bd0-4789-4258-981b-c5f8a517c47f,36
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,36
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,84
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,30
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,89
1,43a50b16-34ca-42f0-998d-835efb291567,15
1,94594bd0-4789-4258-981b-c5f8a517c47f,2
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,3
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,60
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,17
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,30
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,89
0,43a50b16-34ca-42f0-998d-835efb291567,15
1,94594bd0-4789-4258-981b-c5f8a517c47f,2
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,3
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,60
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,17
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,72
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,27
0,43a50b16-34ca-42f0-998d-835efb291567,60
1,94594bd0-4789-4258-981b-c5f8a517c47f,4
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,51
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,26
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,-7
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,15
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,27
1,43a50b16-34ca-42f0-998d-835efb291567,60
1,94594bd0-4789-4258-981b-c5f8a517c47f,4
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,51
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,26
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-3
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,15
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,88
1,43a50b16-34ca-42f0-998d-835efb291567,14
1,94594bd0-4789-4258-981b-c5f8a517c47f,72
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,33
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,33
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-3
3,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,39
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,18
0,43a50b16-34ca-42f0-998d-835efb291567,72
1,94594bd0-4789-4258-981b-c5f8a517c47f,72
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,33
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,33
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,50
1,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,39
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,18
1,43a50b16-34ca-42f0-998d-835efb291567,72
1,94594bd0-4789-4258-981b-c5f8a517c47f,33
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,54
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,80
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,50
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
