time_taken,device_id,value
116,5167c837-c70b-4a1e-9e88-1d64446b9a01,27
123,033b5620-60a9-49f9-8419-1e79c7c19b97,1
127,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,54
109,43a50b16-34ca-42f0-998d-835efb291567,87
104,94594bd0-4789-4258-981b-c5f8a517c47f,51
102,514f5fac-1de6-4b9e-ae0d-069ce0658654,32
106,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,67
108,d564aab8-09d2-4885-95cd-24ff936d635c,True
88,5167c837-c70b-4a1e-9e88-1d64446b9a01,35
94,033b5620-60a9-49f9-8419-1e79c7c19b97,95
101,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,6
124,43a50b16-34ca-42f0-998d-835efb291567,80
115,94594bd0-4789-4258-981b-c5f8a517c47f,50
105,514f5fac-1de6-4b9e-ae0d-069ce0658654,45
93,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,27
95,d564aab8-09d2-4885-95cd-24ff936d635c,True
107,5167c837-c70b-4a1e-9e88-1d64446b9a01,-6
109,033b5620-60a9-49f9-8419-1e79c7c19b97,34
113,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,69
112,43a50b16-34ca-42f0-998d-835efb291567,2
103,94594bd0-4789-4258-981b-c5f8a517c47f,74
104,514f5fac-1de6-4b9e-ae0d-069ce0658654,95
110,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,16
104,d564aab8-09d2-4885-95cd-24ff936d635c,True
90,5167c837-c70b-4a1e-9e88-1d64446b9a01,-10
98,033b5620-60a9-49f9-8419-1e79c7c19b97,98
97,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,52
96,43a50b16-34ca-42f0-998d-835efb291567,99
93,94594bd0-4789-4258-981b-c5f8a517c47f,74
95,514f5fac-1de6-4b9e-ae0d-069ce0658654,30
97,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,88
94,d564aab8-09d2-4885-95cd-24ff936d635c,True
95,5167c837-c70b-4a1e-9e88-1d64446b9a01,2
102,033b5620-60a9-49f9-8419-1e79c7c19b97,11
94,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,50
97,43a50b16-34ca-42f0-998d-835efb291567,26
98,94594bd0-4789-4258-981b-c5f8a517c47f,82
110,514f5fac-1de6-4b9e-ae0d-069ce0658654,38
125,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,28
123,d564aab8-09d2-4885-95cd-24ff936d635c,True
88,5167c837-c70b-4a1e-9e88-1d64446b9a01,16
107,033b5620-60a9-49f9-8419-1e79c7c19b97,95
126,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,43
103,43a50b16-34ca-42f0-998d-835efb291567,23
95,94594bd0-4789-4258-981b-c5f8a517c47f,2
102,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
136,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,32
94,d564aab8-09d2-4885-95cd-24ff936d635c,False
92,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
98,033b5620-60a9-49f9-8419-1e79c7c19b97,9
94,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,30
99,43a50b16-34ca-42f0-998d-835efb291567,16
97,94594bd0-4789-4258-981b-c5f8a517c47f,36
103,514f5fac-1de6-4b9e-ae0d-069ce0658654,36
96,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,84
95,d564aab8-09d2-4885-95cd-24ff936d635c,False
92,5167c837-c70b-4a1e-9e88-1d64446b9a01,17
93,033b5620-60a9-49f9-8419-1e79c7c19b97,30
115,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,89
102,43a50b16-34ca-42f0-998d-835efb291567,15
95,94594bd0-4789-4258-981b-c5f8a517c47f,2
96,514f5fac-1de6-4b9e-ae0d-069ce0658654,3
100,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,60
91,d564aab8-09d2-4885-95cd-24ff936d635c,True
90,5167c837-c70b-4a1e-9e88-1d64446b9a01,-7
96,033b5620-60a9-49f9-8419-1e79c7c19b97,72
93,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,27
91,43a50b16-34ca-42f0-998d-835efb291567,60
92,94594bd0-4789-4258-981b-c5f8a517c47f,4
100,514f5fac-1de6-4b9e-ae0d-069ce0658654,51
