time_taken,device_id,value
9,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 27}
10,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 1}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 54}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 87}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 51}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 32}
4,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 67}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 35}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 95}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 6}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 80}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 50}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 45}
9,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 27}
10,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
10,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -6}
10,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 34}
10,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 69}
9,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 2}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 74}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 95}
10,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 16}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
9,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -10}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 98}
9,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 52}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 99}
9,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 74}
8,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 30}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 88}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 2}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 11}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 50}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 26}
9,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 82}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 38}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 28}
9,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 16}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 95}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 43}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 23}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 2}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 0}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 32}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 26}
8,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 9}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 30}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 16}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 36}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 36}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 84}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 17}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 30}
15,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 89}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 15}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 2}
10,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 3}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 60}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -7}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 72}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 27}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 60}
9,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 4}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 51}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 26}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -3}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 15}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 88}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 14}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 72}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 33}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 33}
8,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 50}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 39}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 18}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 72}
10,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 33}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 54}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 80}
10,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 48}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 91}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 57}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 28}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 11}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 8}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 18}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 21}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 94}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 48}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 70}
