time_taken,device_id,value
136,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
124,033b5620-60a9-49f9-8419-1e79c7c19b97,46
141,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
144,43a50b16-34ca-42f0-998d-835efb291567,71
126,94594bd0-4789-4258-981b-c5f8a517c47f,6
132,514f5fac-1de6-4b9e-ae0d-069ce0658654,24
120,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,22
183,d564aab8-09d2-4885-95cd-24ff936d635c,False
126,5167c837-c70b-4a1e-9e88-1d64446b9a01,41
117,033b5620-60a9-49f9-8419-1e79c7c19b97,48
101,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,69
116,43a50b16-34ca-42f0-998d-835efb291567,56
119,94594bd0-4789-4258-981b-c5f8a517c47f,79
107,514f5fac-1de6-4b9e-ae0d-069ce0658654,23
100,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,35
96,d564aab8-09d2-4885-95cd-24ff936d635c,True
94,5167c837-c70b-4a1e-9e88-1d64446b9a01,30
106,033b5620-60a9-49f9-8419-1e79c7c19b97,39
113,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,32
143,43a50b16-34ca-42f0-998d-835efb291567,96
107,94594bd0-4789-4258-981b-c5f8a517c47f,16
106,514f5fac-1de6-4b9e-ae0d-069ce0658654,53
104,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,48
106,d564aab8-09d2-4885-95cd-24ff936d635c,False
103,5167c837-c70b-4a1e-9e88-1d64446b9a01,45
395,033b5620-60a9-49f9-8419-1e79c7c19b97,96
200,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,75
99,43a50b16-34ca-42f0-998d-835efb291567,39
99,94594bd0-4789-4258-981b-c5f8a517c47f,97
98,514f5fac-1de6-4b9e-ae0d-069ce0658654,72
95,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,77
97,d564aab8-09d2-4885-95cd-24ff936d635c,False
100,5167c837-c70b-4a1e-9e88-1d64446b9a01,46
102,033b5620-60a9-49f9-8419-1e79c7c19b97,11
107,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,45
105,43a50b16-34ca-42f0-998d-835efb291567,72
105,94594bd0-4789-4258-981b-c5f8a517c47f,70
101,514f5fac-1de6-4b9e-ae0d-069ce0658654,75
106,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,26
102,d564aab8-09d2-4885-95cd-24ff936d635c,True
100,5167c837-c70b-4a1e-9e88-1d64446b9a01,16
96,033b5620-60a9-49f9-8419-1e79c7c19b97,17
96,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,92
100,43a50b16-34ca-42f0-998d-835efb291567,80
106,94594bd0-4789-4258-981b-c5f8a517c47f,9
102,514f5fac-1de6-4b9e-ae0d-069ce0658654,92
101,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,4
93,d564aab8-09d2-4885-95cd-24ff936d635c,True
134,5167c837-c70b-4a1e-9e88-1d64446b9a01,7
116,033b5620-60a9-49f9-8419-1e79c7c19b97,35
109,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,17
100,43a50b16-34ca-42f0-998d-835efb291567,24
113,94594bd0-4789-4258-981b-c5f8a517c47f,95
132,514f5fac-1de6-4b9e-ae0d-069ce0658654,100
99,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,92
106,d564aab8-09d2-4885-95cd-24ff936d635c,False
103,5167c837-c70b-4a1e-9e88-1d64446b9a01,20
108,033b5620-60a9-49f9-8419-1e79c7c19b97,73
104,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,24
102,43a50b16-34ca-42f0-998d-835efb291567,82
100,94594bd0-4789-4258-981b-c5f8a517c47f,7
109,514f5fac-1de6-4b9e-ae0d-069ce0658654,85
128,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,33
98,d564aab8-09d2-4885-95cd-24ff936d635c,False
103,5167c837-c70b-4a1e-9e88-1d64446b9a01,-4
113,033b5620-60a9-49f9-8419-1e79c7c19b97,0
100,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,31
101,43a50b16-34ca-42f0-998d-835efb291567,74
104,94594bd0-4789-4258-981b-c5f8a517c47f,77
113,514f5fac-1de6-4b9e-ae0d-069ce0658654,30
99,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,45
101,d564aab8-09d2-4885-95cd-24ff936d635c,False
106,5167c837-c70b-4a1e-9e88-1d64446b9a01,-6
110,033b5620-60a9-49f9-8419-1e79c7c19b97,82
166,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,60
139,43a50b16-34ca-42f0-998d-835efb291567,86
122,94594bd0-4789-4258-981b-c5f8a517c47f,21
110,514f5fac-1de6-4b9e-ae0d-069ce0658654,26
100,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,69
106,d564aab8-09d2-4885-95cd-24ff936d635c,False
107,5167c837-c70b-4a1e-9e88-1d64446b9a01,11
104,033b5620-60a9-49f9-8419-1e79c7c19b97,22
116,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,23
187,43a50b16-34ca-42f0-998d-835efb291567,32
186,94594bd0-4789-4258-981b-c5f8a517c47f,40
137,514f5fac-1de6-4b9e-ae0d-069ce0658654,100
106,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,65
109,d564aab8-09d2-4885-95cd-24ff936d635c,True
125,5167c837-c70b-4a1e-9e88-1d64446b9a01,48
139,033b5620-60a9-49f9-8419-1e79c7c19b97,81
102,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,16
91,43a50b16-34ca-42f0-998d-835efb291567,39
98,94594bd0-4789-4258-981b-c5f8a517c47f,69
111,514f5fac-1de6-4b9e-ae0d-069ce0658654,51
103,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,24
98,d564aab8-09d2-4885-95cd-24ff936d635c,False
96,5167c837-c70b-4a1e-9e88-1d64446b9a01,48
105,033b5620-60a9-49f9-8419-1e79c7c19b97,9
98,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,11
98,43a50b16-34ca-42f0-998d-835efb291567,75
102,94594bd0-4789-4258-981b-c5f8a517c47f,20
100,514f5fac-1de6-4b9e-ae0d-069ce0658654,94
98,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,80
110,d564aab8-09d2-4885-95cd-24ff936d635c,False
102,5167c837-c70b-4a1e-9e88-1d64446b9a01,12
102,033b5620-60a9-49f9-8419-1e79c7c19b97,65
122,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,7
110,43a50b16-34ca-42f0-998d-835efb291567,77
107,94594bd0-4789-4258-981b-c5f8a517c47f,57
98,514f5fac-1de6-4b9e-ae0d-069ce0658654,30
98,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,67
94,d564aab8-09d2-4885-95cd-24ff936d635c,True
99,5167c837-c70b-4a1e-9e88-1d64446b9a01,44
92,033b5620-60a9-49f9-8419-1e79c7c19b97,69
92,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,48
96,43a50b16-34ca-42f0-998d-835efb291567,72
101,94594bd0-4789-4258-981b-c5f8a517c47f,79
283,514f5fac-1de6-4b9e-ae0d-069ce0658654,12
