time_taken,device_id,value
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 26}
13,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 46}
12,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 81}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 71}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 6}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 24}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 22}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 41}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 48}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 69}
44,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 56}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 79}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 23}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 35}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 30}
9,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 39}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 32}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 96}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 16}
8,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 53}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 48}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
10,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 45}
9,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 96}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 75}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 39}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 97}
4,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 72}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 77}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 46}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 11}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 45}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 72}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 70}
9,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 75}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 26}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 16}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 17}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 92}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 80}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 9}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 92}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 4}
12,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 7}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 35}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 17}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 24}
14,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 95}
4,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 100}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 92}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 20}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 73}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 24}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 82}
10,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 7}
11,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 85}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 33}
8,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -4}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 0}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 31}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 74}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 77}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 30}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 45}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -6}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 82}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 60}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 86}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 21}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 26}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 69}
10,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 11}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 22}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 23}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 32}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 40}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 100}
9,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 65}
9,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
9,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 48}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 81}
