exeution_time,value
38,0
38,94
38,94
39,94
39,94
40,94
41,0
42,0
42,0
43,0
43,0
28,94
8,32
8,12
8,12
9,32
9,32
10,32
10,32
10,32
11,12
11,0
12,25
12,25
12,25
13,25
13,25
13,12
14,12
14,12
15,25
16,72
17,72
17,72
18,72
18,72
19,72
18,0
18,0
18,0
19,0
19,0
41,10
41,10
41,10
41,10
42,10
42,10
42,10
42,94
43,94
43,94
44,94
44,10
44,10
44,10
45,10
45,10
46,10
25,94
11,72
12,0
12,0
13,0
13,0
13,0
14,0
14,0
30,94
30,94
16,72
16,32
17,32
17,32
17,32
18,32
18,72
19,72
19,72
20,72
20,72
21,32
36,12
36,12
37,0
37,0
37,0
37,0
38,0
38,0
38,0
24,32
39,25
39,12
39,12
40,25
40,25
40,25
41,25
41,25
41,12
42,12
42,12
42,25
42,25
43,12
43,12
44,12
44,12
44,25
44,25
45,25
45,25
45,25
45,25
18,12
7,10
19,94
19,94
19,94
20,94
21,94
22,94
24,94
26,12
27,12
15,10
16,0
16,0
16,0
16,0
17,0
17,10
18,10
18,10
19,10
19,10
20,0
32,0
32,0
33,32
33,32
33,32
34,32
34,32
34,32
34,32
23,0
35,0
35,72
35,72
36,72
37,72
37,72
37,72
38,0
38,0
38,0
39,0
39,72
28,72
29,72
29,0
30,0
30,0
30,0
31,72
31,72
32,72
32,72
33,0
14,25
14,25
15,25
15,25
16,12
16,12
17,12
18,12
19,12
19,12
39,0
20,25
21,94
21,94
22,94
22,32
23,32
24,32
24,32
25,32
25,32
26,25
26,94
45,0
46,0
46,10
47,10
47,10
48,10
48,10
49,10
30,94
31,94
50,0
51,0
51,0
51,0
52,0
52,10
52,0
53,10
53,0
54,0
26,0
26,0
27,0
27,10
27,10
28,0
28,0
28,0
29,10
29,10
29,72
29,0
30,0
31,10
31,0
32,0
32,72
33,72
33,72
34,72
34,72
35,12
36,12
36,12
36,12
37,12
37,72
38,94
38,94
39,94
39,12
39,12
40,25
41,25
41,94
42,94
42,94
43,94
43,25
44,25
44,25
44,25
44,25
45,32
45,32
45,32
46,32
46,32
46,32
46,32
47,32
47,32
47,25
48,25
48,25
48,32
48,32
49,32
49,32
49,32
6,25
6,10
7,25
7,10
7,10
7,10
8,10
8,10
8,10
10,25
10,25
9,0
10,94
10,0
10,94
11,94
11,94
11,0
12,0
12,0
13,0
13,0
14,94
15,12
14,94
15,0
15,0
15,0
16,0
16,94
16,0
17,12
17,0
17,0
18,72
18,72
18,72
19,12
19,12
19,12
20,12
20,12
20,72
21,72
21,72
21,72
35,72
35,72
15,25
16,25
16,25
16,25
38,72
38,72
39,72
39,72
19,25
19,12
19,25
20,12
22,12
23,32
24,32
25,32
26,32
26,32
27,32
27,12
28,0
29,12
29,0
30,10
30,10
31,10
31,10
31,10
32,10
32,12
33,0
54,94
34,0
55,0
55,0
56,0
56,0
56,0
57,0
36,0
37,0
58,94
58,94
59,94
59,94
59,94
60,94
60,0
61,0
61,0
61,94
62,94
62,94
62,94
63,94
63,0
64,94
18,72
19,0
19,0
20,0
7,0
20,72
21,72
21,72
21,72
9,0
9,0
9,0
9,0
23,72
23,72
23,25
23,25
24,25
11,0
11,0
26,10
27,10
28,25
