time_taken,device_id,value
113,5167c837-c70b-4a1e-9e88-1d64446b9a01,30
98,033b5620-60a9-49f9-8419-1e79c7c19b97,23
92,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,47
91,43a50b16-34ca-42f0-998d-835efb291567,68
97,94594bd0-4789-4258-981b-c5f8a517c47f,39
98,514f5fac-1de6-4b9e-ae0d-069ce0658654,51
123,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,56
114,d564aab8-09d2-4885-95cd-24ff936d635c,False
139,5167c837-c70b-4a1e-9e88-1d64446b9a01,20
117,033b5620-60a9-49f9-8419-1e79c7c19b97,18
111,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,74
95,43a50b16-34ca-42f0-998d-835efb291567,69
104,94594bd0-4789-4258-981b-c5f8a517c47f,68
106,514f5fac-1de6-4b9e-ae0d-069ce0658654,31
95,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,59
95,d564aab8-09d2-4885-95cd-24ff936d635c,True
102,5167c837-c70b-4a1e-9e88-1d64446b9a01,34
102,033b5620-60a9-49f9-8419-1e79c7c19b97,20
99,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,72
102,43a50b16-34ca-42f0-998d-835efb291567,46
96,94594bd0-4789-4258-981b-c5f8a517c47f,80
94,514f5fac-1de6-4b9e-ae0d-069ce0658654,47
97,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,16
105,d564aab8-09d2-4885-95cd-24ff936d635c,False
110,5167c837-c70b-4a1e-9e88-1d64446b9a01,35
121,033b5620-60a9-49f9-8419-1e79c7c19b97,25
105,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,32
101,43a50b16-34ca-42f0-998d-835efb291567,29
101,94594bd0-4789-4258-981b-c5f8a517c47f,24
99,514f5fac-1de6-4b9e-ae0d-069ce0658654,85
107,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,83
94,d564aab8-09d2-4885-95cd-24ff936d635c,True
94,5167c837-c70b-4a1e-9e88-1d64446b9a01,40
104,033b5620-60a9-49f9-8419-1e79c7c19b97,95
101,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,20
100,43a50b16-34ca-42f0-998d-835efb291567,98
99,94594bd0-4789-4258-981b-c5f8a517c47f,14
104,514f5fac-1de6-4b9e-ae0d-069ce0658654,98
95,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,90
99,d564aab8-09d2-4885-95cd-24ff936d635c,False
100,5167c837-c70b-4a1e-9e88-1d64446b9a01,-7
102,033b5620-60a9-49f9-8419-1e79c7c19b97,21
103,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,78
97,43a50b16-34ca-42f0-998d-835efb291567,21
107,94594bd0-4789-4258-981b-c5f8a517c47f,44
100,514f5fac-1de6-4b9e-ae0d-069ce0658654,47
