exeution_time,value
25,63
26,32
26,86
26,80
27,0
27,44
27,35
27,26
11,35
12,80
12,86
12,0
13,44
11,32
13,63
14,26
338,63
337,32
339,44
340,0
340,80
340,35
340,26
341,86
7,32
8,80
11,35
9,0
10,26
10,44
11,63
13,86
339,86
337,44
338,46
338,30
338,0
339,80
339,32
341,35
8,34
9,83
9,13
9,0
8,30
8,42
11,11
11,46
339,11
338,30
338,42
341,0
341,83
342,34
342,46
343,13
13,27
16,63
16,34
17,0
17,46
18,11
18,73
19,4
339,73
339,11
340,46
340,0
340,63
341,27
341,4
341,81
9,29
8,93
10,-2
9,0
9,4
10,58
10,73
13,81
337,62
336,58
337,63
337,98
337,0
338,93
340,29
340,-2
7,58
8,93
8,0
9,29
9,98
10,62
13,8
10,63
337,8
334,93
335,62
335,13
336,0
336,86
336,37
337,63
10,93
11,48
8,86
8,0
9,6
9,13
10,8
10,37
338,54
338,70
339,-14
339,6
339,0
339,86
340,93
340,48
10,70
10,-14
11,54
10,65
10,24
9,14
11,0
11,18
13,54
10,14
12,24
13,0
13,65
13,70
13,-18
14,18
15,96
16,8
17,50
17,0
17,-18
18,24
35,14
32,44
26,44
24,36
24,96
24,-18
25,0
25,8
25,65
27,50
10,44
11,8
12,65
12,0
12,16
12,36
22,39
22,50
29,94
26,36
27,44
28,16
28,0
30,8
33,39
34,65
36,39
33,72
37,0
37,16
38,36
38,94
38,65
39,62
36,8
35,55
35,94
36,16
36,0
36,72
36,39
37,62
43,62
40,72
41,54
42,0
43,37
43,55
43,8
46,94
36,54
37,55
37,8
38,37
38,0
39,83
39,27
40,41
41,41
39,83
39,27
40,0
40,37
41,22
43,54
43,67
16,40
15,22
18,42
18,0
19,83
19,41
20,67
20,27
27,6
23,51
24,92
24,0
25,42
25,72
25,40
26,16
16,16
13,72
14,40
15,42
15,0
15,51
16,6
19,92
30,94
29,51
29,6
29,0
30,21
32,72
32,16
32,92
339,0
337,72
338,12
338,21
338,25
339,0
342,94
343,6
6,72
7,0
8,25
8,94
9,21
9,0
11,32
10,12
339,32
338,10
338,0
339,94
339,25
339,0
340,72
340,12
29,10
28,0
28,72
29,25
29,12
29,94
30,32
32,0
