time_taken,device_id,value
120,5167c837-c70b-4a1e-9e88-1d64446b9a01,30
108,033b5620-60a9-49f9-8419-1e79c7c19b97,46
117,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,11
140,43a50b16-34ca-42f0-998d-835efb291567,83
100,94594bd0-4789-4258-981b-c5f8a517c47f,42
100,514f5fac-1de6-4b9e-ae0d-069ce0658654,13
106,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,34
103,d564aab8-09d2-4885-95cd-24ff936d635c,False
82,5167c837-c70b-4a1e-9e88-1d64446b9a01,27
84,033b5620-60a9-49f9-8419-1e79c7c19b97,46
85,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,11
85,43a50b16-34ca-42f0-998d-835efb291567,63
88,94594bd0-4789-4258-981b-c5f8a517c47f,4
87,514f5fac-1de6-4b9e-ae0d-069ce0658654,73
87,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,81
95,d564aab8-09d2-4885-95cd-24ff936d635c,True
84,5167c837-c70b-4a1e-9e88-1d64446b9a01,-2
82,033b5620-60a9-49f9-8419-1e79c7c19b97,58
84,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,29
85,43a50b16-34ca-42f0-998d-835efb291567,93
89,94594bd0-4789-4258-981b-c5f8a517c47f,98
83,514f5fac-1de6-4b9e-ae0d-069ce0658654,63
83,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,62
83,d564aab8-09d2-4885-95cd-24ff936d635c,True
84,5167c837-c70b-4a1e-9e88-1d64446b9a01,8
88,033b5620-60a9-49f9-8419-1e79c7c19b97,37
89,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,13
87,43a50b16-34ca-42f0-998d-835efb291567,86
88,94594bd0-4789-4258-981b-c5f8a517c47f,93
86,514f5fac-1de6-4b9e-ae0d-069ce0658654,6
88,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,48
83,d564aab8-09d2-4885-95cd-24ff936d635c,True
83,5167c837-c70b-4a1e-9e88-1d64446b9a01,-14
84,033b5620-60a9-49f9-8419-1e79c7c19b97,54
84,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,70
86,43a50b16-34ca-42f0-998d-835efb291567,65
90,94594bd0-4789-4258-981b-c5f8a517c47f,18
84,514f5fac-1de6-4b9e-ae0d-069ce0658654,14
83,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,24
82,d564aab8-09d2-4885-95cd-24ff936d635c,False
83,5167c837-c70b-4a1e-9e88-1d64446b9a01,-18
85,033b5620-60a9-49f9-8419-1e79c7c19b97,96
85,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,50
100,43a50b16-34ca-42f0-998d-835efb291567,8
91,94594bd0-4789-4258-981b-c5f8a517c47f,44
96,514f5fac-1de6-4b9e-ae0d-069ce0658654,65
107,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,36
95,d564aab8-09d2-4885-95cd-24ff936d635c,False
115,5167c837-c70b-4a1e-9e88-1d64446b9a01,16
128,033b5620-60a9-49f9-8419-1e79c7c19b97,39
430,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,94
111,43a50b16-34ca-42f0-998d-835efb291567,72
433,94594bd0-4789-4258-981b-c5f8a517c47f,62
110,514f5fac-1de6-4b9e-ae0d-069ce0658654,8
118,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,55
103,d564aab8-09d2-4885-95cd-24ff936d635c,True
137,5167c837-c70b-4a1e-9e88-1d64446b9a01,37
153,033b5620-60a9-49f9-8419-1e79c7c19b97,54
101,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,41
120,43a50b16-34ca-42f0-998d-835efb291567,83
106,94594bd0-4789-4258-981b-c5f8a517c47f,27
111,514f5fac-1de6-4b9e-ae0d-069ce0658654,67
101,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,22
101,d564aab8-09d2-4885-95cd-24ff936d635c,True
103,5167c837-c70b-4a1e-9e88-1d64446b9a01,42
97,033b5620-60a9-49f9-8419-1e79c7c19b97,40
106,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,92
103,43a50b16-34ca-42f0-998d-835efb291567,51
106,94594bd0-4789-4258-981b-c5f8a517c47f,16
102,514f5fac-1de6-4b9e-ae0d-069ce0658654,6
111,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,72
106,d564aab8-09d2-4885-95cd-24ff936d635c,True
109,5167c837-c70b-4a1e-9e88-1d64446b9a01,21
119,033b5620-60a9-49f9-8419-1e79c7c19b97,94
317,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,25
248,43a50b16-34ca-42f0-998d-835efb291567,0
89,94594bd0-4789-4258-981b-c5f8a517c47f,12
91,514f5fac-1de6-4b9e-ae0d-069ce0658654,32
94,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,72
95,d564aab8-09d2-4885-95cd-24ff936d635c,False
