time_taken,device_id,value
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 30}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 46}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 11}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 83}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 42}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 13}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 34}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 27}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 46}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 11}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 63}
4,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 4}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 73}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 81}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -2}
4,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 58}
4,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 29}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 93}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 98}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 63}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 62}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 8}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 37}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 13}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 86}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 93}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 6}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 48}
4,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -14}
4,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 54}
4,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 70}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 65}
4,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 18}
4,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 14}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 24}
4,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
4,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -18}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 96}
9,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 50}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 8}
9,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 44}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 65}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 36}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 16}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 39}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 94}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 72}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 62}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 8}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 55}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 37}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 54}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 41}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 83}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 27}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 67}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 22}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 42}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 40}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 92}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 51}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 16}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 6}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 72}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
