exeution_time,device_id,value
0,033b5620-60a9-49f9-8419-1e79c7c19b97,0
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,0
1,43a50b16-34ca-42f0-998d-835efb291567,0
2,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,45
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,59
0,43a50b16-34ca-42f0-998d-835efb291567,12
0,94594bd0-4789-4258-981b-c5f8a517c47f,66
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,80
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,37
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,46
1,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,45
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,59
0,43a50b16-34ca-42f0-998d-835efb291567,12
1,94594bd0-4789-4258-981b-c5f8a517c47f,66
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,80
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,37
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,46
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,69
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,88
1,43a50b16-34ca-42f0-998d-835efb291567,73
2,94594bd0-4789-4258-981b-c5f8a517c47f,81
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,94
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,75
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,49
3,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,69
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,12
1,43a50b16-34ca-42f0-998d-835efb291567,73
1,94594bd0-4789-4258-981b-c5f8a517c47f,41
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,57
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,60
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,16
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,30
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,12
1,43a50b16-34ca-42f0-998d-835efb291567,44
1,94594bd0-4789-4258-981b-c5f8a517c47f,77
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,57
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,10
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-10
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,31
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,48
2,43a50b16-34ca-42f0-998d-835efb291567,67
2,94594bd0-4789-4258-981b-c5f8a517c47f,77
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,77
3,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,61
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,-2
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,56
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,5
1,43a50b16-34ca-42f0-998d-835efb291567,38
2,94594bd0-4789-4258-981b-c5f8a517c47f,72
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,26
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,24
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,1
3,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,13
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,34
1,43a50b16-34ca-42f0-998d-835efb291567,81
1,94594bd0-4789-4258-981b-c5f8a517c47f,11
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,89
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,24
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,1
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,16
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,4
2,43a50b16-34ca-42f0-998d-835efb291567,84
2,94594bd0-4789-4258-981b-c5f8a517c47f,29
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,63
3,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,82
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,-13
4,d564aab8-09d2-4885-95cd-24ff936d635c,false
