time_taken,device_id,value
901,5167c837-c70b-4a1e-9e88-1d64446b9a01,49
1006,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,75
1100,94594bd0-4789-4258-981b-c5f8a517c47f,81
1101,514f5fac-1de6-4b9e-ae0d-069ce0658654,94
1105,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,88
1196,d564aab8-09d2-4885-95cd-24ff936d635c,True
1204,033b5620-60a9-49f9-8419-1e79c7c19b97,69
1213,43a50b16-34ca-42f0-998d-835efb291567,73
89,5167c837-c70b-4a1e-9e88-1d64446b9a01,16
93,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,60
122,94594bd0-4789-4258-981b-c5f8a517c47f,41
209,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,12
213,514f5fac-1de6-4b9e-ae0d-069ce0658654,57
313,033b5620-60a9-49f9-8419-1e79c7c19b97,30
305,43a50b16-34ca-42f0-998d-835efb291567,44
399,d564aab8-09d2-4885-95cd-24ff936d635c,False
89,5167c837-c70b-4a1e-9e88-1d64446b9a01,-10
107,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,10
108,94594bd0-4789-4258-981b-c5f8a517c47f,77
185,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,48
185,514f5fac-1de6-4b9e-ae0d-069ce0658654,77
224,033b5620-60a9-49f9-8419-1e79c7c19b97,31
222,43a50b16-34ca-42f0-998d-835efb291567,67
157,d564aab8-09d2-4885-95cd-24ff936d635c,False
103,5167c837-c70b-4a1e-9e88-1d64446b9a01,-2
105,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,61
109,94594bd0-4789-4258-981b-c5f8a517c47f,72
132,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,5
131,514f5fac-1de6-4b9e-ae0d-069ce0658654,26
275,033b5620-60a9-49f9-8419-1e79c7c19b97,56
274,43a50b16-34ca-42f0-998d-835efb291567,38
340,d564aab8-09d2-4885-95cd-24ff936d635c,True
125,5167c837-c70b-4a1e-9e88-1d64446b9a01,1
109,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,24
117,94594bd0-4789-4258-981b-c5f8a517c47f,11
192,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,34
204,514f5fac-1de6-4b9e-ae0d-069ce0658654,89
109,43a50b16-34ca-42f0-998d-835efb291567,81
117,033b5620-60a9-49f9-8419-1e79c7c19b97,13
229,d564aab8-09d2-4885-95cd-24ff936d635c,True
129,5167c837-c70b-4a1e-9e88-1d64446b9a01,-13
177,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,82
161,94594bd0-4789-4258-981b-c5f8a517c47f,29
115,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,4
111,514f5fac-1de6-4b9e-ae0d-069ce0658654,63
106,43a50b16-34ca-42f0-998d-835efb291567,84
156,033b5620-60a9-49f9-8419-1e79c7c19b97,16
105,d564aab8-09d2-4885-95cd-24ff936d635c,False
172,5167c837-c70b-4a1e-9e88-1d64446b9a01,6
230,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,90
209,94594bd0-4789-4258-981b-c5f8a517c47f,15
255,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,60
262,514f5fac-1de6-4b9e-ae0d-069ce0658654,27
162,43a50b16-34ca-42f0-998d-835efb291567,97
153,033b5620-60a9-49f9-8419-1e79c7c19b97,83
139,d564aab8-09d2-4885-95cd-24ff936d635c,False
115,5167c837-c70b-4a1e-9e88-1d64446b9a01,17
109,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,64
103,94594bd0-4789-4258-981b-c5f8a517c47f,56
101,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,38
98,514f5fac-1de6-4b9e-ae0d-069ce0658654,89
126,43a50b16-34ca-42f0-998d-835efb291567,92
114,033b5620-60a9-49f9-8419-1e79c7c19b97,63
102,d564aab8-09d2-4885-95cd-24ff936d635c,False
97,5167c837-c70b-4a1e-9e88-1d64446b9a01,49
99,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,94
94,94594bd0-4789-4258-981b-c5f8a517c47f,62
