time_taken,device_id,value

16,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 49}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 75}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 81}
10,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 94}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 88}
8,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
12,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 69}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 73}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 16}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 60}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 41}
9,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 12}
9,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 57}
8,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 30}
9,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 44}
9,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
9,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -10}
10,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 10}
9,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 77}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 48}
8,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 77}
11,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 31}
10,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 67}
10,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
12,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -2}
13,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 61}
12,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 72}
13,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 5}
10,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 26}
17,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 56}
12,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 38}
11,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
12,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 1}
14,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 24}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 11}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 34}
8,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 89}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 81}
9,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 13}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
13,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -13}
20,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 82}
12,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 29}
10,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 4}
8,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 63}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 84}
8,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 16}
9,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 6}
10,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 90}
11,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 15}
11,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 60}
8,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 27}
13,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 97}
16,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 83}
9,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
9,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 17}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 64}
12,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 56}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 38}
8,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 89}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 92}
9,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 63}
8,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 49}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 94}
9,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 62}
