exeution_time,value
16,0
16,0
16,0
17,0
17,0
18,0
18,0
18,0
19,0
19,0
19,0
20,0
21,0
30,0
31,0
32,0
32,0
33,0
33,0
34,0
35,0
35,0
36,0
36,0
36,0
37,0
37,0
38,0
39,0
39,0
40,0
40,0
41,0
41,0
41,0
42,0
42,0
42,0
43,0
43,0
43,0
44,0
44,0
45,0
45,0
45,0
45,0
46,0
46,0
47,0
47,0
47,0
47,0
48,0
48,0
48,0
49,0
49,0
49,0
50,0
50,0
51,0
51,0
51,0
52,0
249,95
250,95
250,95
53,0
251,95
251,95
251,95
252,95
252,95
252,95
253,95
253,95
253,95
253,95
254,95
254,95
254,95
255,95
255,95
255,95
255,95
256,95
257,95
257,95
258,95
258,95
259,95
259,95
260,95
260,95
260,95
261,95
261,95
262,95
262,95
263,95
263,95
263,95
264,95
264,95
264,95
265,95
265,95
265,95
266,95
266,95
266,95
267,95
267,95
268,95
268,95
268,95
269,95
269,95
269,95
269,95
270,95
270,95
270,95
271,95
271,95
271,95
272,95
272,95
272,95
273,95
74,37
74,37
75,37
75,37
75,37
75,37
76,37
76,37
76,37
276,95
77,37
78,37
78,37
78,37
79,37
79,37
79,37
80,37
80,37
81,37
81,37
81,37
82,37
82,37
82,37
83,37
83,37
83,37
84,37
84,37
85,37
85,37
86,37
86,37
86,37
87,37
87,37
87,37
88,37
88,37
89,37
89,37
89,37
90,37
90,37
90,37
91,37
91,37
92,37
92,37
93,37
94,37
94,37
94,37
95,37
95,37
95,37
96,37
96,37
96,37
97,37
97,37
97,37
98,37
98,37
9,37
187,49
188,49
189,49
189,49
190,49
192,49
192,49
195,49
196,49
18,37
197,49
197,49
197,49
198,49
198,49
198,49
199,49
199,49
200,49
200,49
201,49
201,49
202,49
202,49
202,49
203,49
204,49
204,49
205,49
205,49
206,49
206,49
207,49
207,49
207,49
208,49
208,49
208,49
209,49
209,49
209,49
210,49
211,49
212,49
213,49
213,49
214,49
215,49
216,49
216,49
216,49
217,49
217,49
217,49
218,49
218,49
219,49
219,49
219,49
219,49
220,49
220,49
220,49
221,49
221,49
221,49
222,68
223,68
223,68
224,68
224,68
225,68
225,68
225,68
226,68
226,49
227,68
228,68
228,68
229,68
229,68
229,68
229,68
230,68
230,68
230,68
230,68
231,68
231,68
231,68
232,68
232,68
232,68
232,68
233,68
233,68
233,68
233,68
234,68
234,68
234,68
235,68
235,68
235,68
236,68
236,68
236,68
237,68
237,68
237,68
238,68
238,68
238,68
239,68
239,68
239,68
240,68
240,68
240,68
240,68
241,68
241,68
241,68
242,68
242,68
242,68
243,68
244,68
244,68
244,68
245,68
243,68
244,68
17,18
17,18
17,18
18,18
18,18
19,18
19,18
20,18
21,18
23,18
24,18
25,18
26,18
27,18
28,18
28,18
29,18
29,18
30,18
30,18
31,18
32,18
33,18
33,18
34,18
34,18
34,18
35,18
35,18
36,18
37,18
37,18
37,18
38,18
39,18
39,18
40,18
41,18
42,18
42,18
42,18
43,18
44,18
45,18
46,18
46,18
47,18
47,18
48,18
48,18
48,18
49,18
49,18
50,18
51,18
52,18
52,18
53,18
53,18
54,18
56,18
57,18
57,18
58,18
58,18
291,59
291,59
291,59
292,59
292,59
293,59
294,59
295,59
296,59
64,18
297,59
297,59
297,59
298,59
298,59
298,59
298,59
299,59
299,59
299,59
300,59
300,59
300,59
301,59
301,59
301,59
302,59
302,59
302,59
302,59
303,59
303,59
304,59
304,59
305,59
305,59
306,59
306,59
307,59
307,59
308,59
308,59
308,59
308,59
309,59
309,59
309,59
309,59
310,59
310,59
310,59
311,59
311,59
311,59
311,59
312,59
312,59
313,59
