time_taken,device_id,value
394,514f5fac-1de6-4b9e-ae0d-069ce0658654,11
407,033b5620-60a9-49f9-8419-1e79c7c19b97,46
499,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,25
639,43a50b16-34ca-42f0-998d-835efb291567,58
706,d564aab8-09d2-4885-95cd-24ff936d635c,True
796,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
795,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,72
796,94594bd0-4789-4258-981b-c5f8a517c47f,86
598,514f5fac-1de6-4b9e-ae0d-069ce0658654,36
692,033b5620-60a9-49f9-8419-1e79c7c19b97,78
792,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,65
723,d564aab8-09d2-4885-95cd-24ff936d635c,False
854,43a50b16-34ca-42f0-998d-835efb291567,64
695,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,26
702,5167c837-c70b-4a1e-9e88-1d64446b9a01,-9
592,514f5fac-1de6-4b9e-ae0d-069ce0658654,91
795,94594bd0-4789-4258-981b-c5f8a517c47f,78
793,033b5620-60a9-49f9-8419-1e79c7c19b97,28
746,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,16
595,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,67
751,d564aab8-09d2-4885-95cd-24ff936d635c,False
693,43a50b16-34ca-42f0-998d-835efb291567,100
718,5167c837-c70b-4a1e-9e88-1d64446b9a01,43
715,514f5fac-1de6-4b9e-ae0d-069ce0658654,10
715,94594bd0-4789-4258-981b-c5f8a517c47f,24
549,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,18
781,033b5620-60a9-49f9-8419-1e79c7c19b97,41
587,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,75
604,43a50b16-34ca-42f0-998d-835efb291567,32
671,5167c837-c70b-4a1e-9e88-1d64446b9a01,-4
800,d564aab8-09d2-4885-95cd-24ff936d635c,False
684,514f5fac-1de6-4b9e-ae0d-069ce0658654,35
774,94594bd0-4789-4258-981b-c5f8a517c47f,50
506,033b5620-60a9-49f9-8419-1e79c7c19b97,93
603,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,80
693,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,57
586,43a50b16-34ca-42f0-998d-835efb291567,16
678,5167c837-c70b-4a1e-9e88-1d64446b9a01,-1
684,d564aab8-09d2-4885-95cd-24ff936d635c,False
689,94594bd0-4789-4258-981b-c5f8a517c47f,12
781,514f5fac-1de6-4b9e-ae0d-069ce0658654,90
687,033b5620-60a9-49f9-8419-1e79c7c19b97,27
589,43a50b16-34ca-42f0-998d-835efb291567,96
783,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,88
784,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,4
596,5167c837-c70b-4a1e-9e88-1d64446b9a01,33
596,d564aab8-09d2-4885-95cd-24ff936d635c,False
591,94594bd0-4789-4258-981b-c5f8a517c47f,6
683,514f5fac-1de6-4b9e-ae0d-069ce0658654,46
588,43a50b16-34ca-42f0-998d-835efb291567,3
690,033b5620-60a9-49f9-8419-1e79c7c19b97,15
706,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,27
590,94594bd0-4789-4258-981b-c5f8a517c47f,20
796,5167c837-c70b-4a1e-9e88-1d64446b9a01,18
693,d564aab8-09d2-4885-95cd-24ff936d635c,False
591,033b5620-60a9-49f9-8419-1e79c7c19b97,80
699,43a50b16-34ca-42f0-998d-835efb291567,5
905,514f5fac-1de6-4b9e-ae0d-069ce0658654,48
590,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,93
781,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,84
442,43a50b16-34ca-42f0-998d-835efb291567,7
742,d564aab8-09d2-4885-95cd-24ff936d635c,False
791,94594bd0-4789-4258-981b-c5f8a517c47f,40
523,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,77
930,5167c837-c70b-4a1e-9e88-1d64446b9a01,27
739,514f5fac-1de6-4b9e-ae0d-069ce0658654,56
949,033b5620-60a9-49f9-8419-1e79c7c19b97,21
789,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,89
634,43a50b16-34ca-42f0-998d-835efb291567,20
635,d564aab8-09d2-4885-95cd-24ff936d635c,True
697,94594bd0-4789-4258-981b-c5f8a517c47f,57
647,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,83
647,5167c837-c70b-4a1e-9e88-1d64446b9a01,47
630,033b5620-60a9-49f9-8419-1e79c7c19b97,93
641,514f5fac-1de6-4b9e-ae0d-069ce0658654,14
639,d564aab8-09d2-4885-95cd-24ff936d635c,False
642,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,17
698,43a50b16-34ca-42f0-998d-835efb291567,10
640,5167c837-c70b-4a1e-9e88-1d64446b9a01,-13
732,94594bd0-4789-4258-981b-c5f8a517c47f,15
800,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,15
689,514f5fac-1de6-4b9e-ae0d-069ce0658654,93
799,033b5620-60a9-49f9-8419-1e79c7c19b97,59
549,d564aab8-09d2-4885-95cd-24ff936d635c,False
458,5167c837-c70b-4a1e-9e88-1d64446b9a01,45
655,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,72
694,43a50b16-34ca-42f0-998d-835efb291567,78
643,94594bd0-4789-4258-981b-c5f8a517c47f,17
585,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,9
516,514f5fac-1de6-4b9e-ae0d-069ce0658654,32
687,d564aab8-09d2-4885-95cd-24ff936d635c,True
688,033b5620-60a9-49f9-8419-1e79c7c19b97,8
683,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,86
708,5167c837-c70b-4a1e-9e88-1d64446b9a01,-7
689,43a50b16-34ca-42f0-998d-835efb291567,4
498,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,86
605,94594bd0-4789-4258-981b-c5f8a517c47f,85
581,514f5fac-1de6-4b9e-ae0d-069ce0658654,89
596,d564aab8-09d2-4885-95cd-24ff936d635c,True
582,5167c837-c70b-4a1e-9e88-1d64446b9a01,20
607,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,34
732,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,57
735,43a50b16-34ca-42f0-998d-835efb291567,2
729,94594bd0-4789-4258-981b-c5f8a517c47f,21
821,514f5fac-1de6-4b9e-ae0d-069ce0658654,82
738,d564aab8-09d2-4885-95cd-24ff936d635c,True
687,033b5620-60a9-49f9-8419-1e79c7c19b97,46
690,5167c837-c70b-4a1e-9e88-1d64446b9a01,22
784,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,59
655,94594bd0-4789-4258-981b-c5f8a517c47f,30
666,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,47
752,43a50b16-34ca-42f0-998d-835efb291567,76
753,514f5fac-1de6-4b9e-ae0d-069ce0658654,39
811,5167c837-c70b-4a1e-9e88-1d64446b9a01,-2
716,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,85
606,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,55
962,d564aab8-09d2-4885-95cd-24ff936d635c,False
900,033b5620-60a9-49f9-8419-1e79c7c19b97,51
811,94594bd0-4789-4258-981b-c5f8a517c47f,29
892,43a50b16-34ca-42f0-998d-835efb291567,63
692,514f5fac-1de6-4b9e-ae0d-069ce0658654,73
768,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,36
768,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,77
603,94594bd0-4789-4258-981b-c5f8a517c47f,86
781,033b5620-60a9-49f9-8419-1e79c7c19b97,47
868,5167c837-c70b-4a1e-9e88-1d64446b9a01,45
886,d564aab8-09d2-4885-95cd-24ff936d635c,True
793,43a50b16-34ca-42f0-998d-835efb291567,80
794,514f5fac-1de6-4b9e-ae0d-069ce0658654,83
603,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,82
785,94594bd0-4789-4258-981b-c5f8a517c47f,5
789,5167c837-c70b-4a1e-9e88-1d64446b9a01,41
891,033b5620-60a9-49f9-8419-1e79c7c19b97,21
791,d564aab8-09d2-4885-95cd-24ff936d635c,False
734,43a50b16-34ca-42f0-998d-835efb291567,26
733,514f5fac-1de6-4b9e-ae0d-069ce0658654,100
690,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,74
350,514f5fac-1de6-4b9e-ae0d-069ce0658654,5
487,d564aab8-09d2-4885-95cd-24ff936d635c,False
351,43a50b16-34ca-42f0-998d-835efb291567,2
182,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,59
593,5167c837-c70b-4a1e-9e88-1d64446b9a01,-4
667,94594bd0-4789-4258-981b-c5f8a517c47f,73
491,033b5620-60a9-49f9-8419-1e79c7c19b97,47
881,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
