time_taken,device_id,value
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 11}
4,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 46}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 25}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 58}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 26}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 72}
4,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 86}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 36}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 78}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 65}
8,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 64}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 26}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -9}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 78}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 91}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 28}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 16}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 67}
9,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 100}
10,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 43}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 10}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 24}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 18}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 41}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 75}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 32}
12,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -4}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 35}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 50}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 93}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 57}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 80}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 16}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -1}
4,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 12}
8,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 90}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 27}
4,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 96}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 88}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 4}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 33}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 6}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 46}
4,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 3}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 15}
4,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 5}
4,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 27}
10,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 20}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
4,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 18}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 80}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 5}
9,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 48}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 93}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 84}
9,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 7}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 40}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 27}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 77}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 21}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 56}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 20}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 89}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
4,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 57}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 47}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 83}
4,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 93}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 14}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 17}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 10}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 15}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -13}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 15}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 93}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 59}
8,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 45}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 72}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 78}
3,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 17}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 9}
9,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 32}
4,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 8}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 86}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -7}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 4}
9,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 86}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 85}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 89}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 34}
8,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 19}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 20}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 57}
4,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 2}
4,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 21}
3,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 82}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
4,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 46}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 22}
12,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 59}
9,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 30}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 47}
4,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 76}
10,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 39}
10,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 85}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -2}
4,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 55}
11,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 51}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 29}
3,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 63}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 73}
9,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 77}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 36}
4,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 86}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 47}
4,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 45}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
3,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 80}
9,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 83}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 82}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 14}
4,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 5}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 41}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 21}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 100}
4,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 26}
3,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 74}
4,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 81}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 47}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -4}
3,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 2}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 5}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 59}
