exeution_time,value
92,0
93,0
93,0
93,59
93,59
93,59
94,0
95,0
94,23
95,59
95,59
95,6
95,6
96,23
96,23
96,23
97,23
97,97
97,97
97,6
98,6
98,6
98,73
98,73
99,73
99,97
99,97
100,97
100,41
100,41
101,41
101,73
101,73
101,-20
102,-20
102,41
102,41
103,-20
103,-20
104,-20
25,-20
26,-20
26,-20
27,59
27,59
28,59
28,-20
29,-20
29,59
29,59
30,-20
14,41
15,0
15,0
32,59
16,0
17,0
18,0
20,0
21,41
21,23
22,23
22,23
22,23
23,23
23,23
24,41
24,41
24,41
25,41
40,73
40,73
42,6
42,6
43,6
43,6
43,73
43,73
45,6
44,73
45,73
47,97
47,97
48,97
48,97
49,6
49,97
50,97
24,97
24,6
25,6
27,6
28,6
30,97
30,97
31,97
31,97
32,97
33,97
33,59
17,-20
35,59
36,59
37,59
38,59
39,59
39,59
40,6
40,6
41,6
25,-20
25,73
26,73
26,73
26,73
27,73
28,-20
29,-20
29,-20
30,-20
31,-20
31,73
48,0
49,0
49,23
50,23
50,23
50,23
50,23
51,23
51,23
34,73
52,0
52,41
52,41
53,41
53,41
53,41
54,41
54,0
55,0
55,0
55,0
55,41
56,41
57,0
57,0
58,0
58,0
58,41
59,41
59,41
59,41
60,41
60,41
26,0
9,97
28,0
10,6
11,6
11,6
12,6
12,6
13,6
31,0
13,6
14,23
14,97
15,23
16,23
16,23
17,97
17,97
18,97
18,97
18,23
19,97
19,59
19,59
20,23
20,59
21,59
22,59
22,59
23,59
23,23
42,-20
42,-20
43,73
43,73
44,73
45,73
46,73
46,-20
47,-20
47,-20
48,-20
48,-20
48,73
49,73
49,73
49,-20
50,-20
50,-20
50,-20
50,-20
51,73
52,73
52,73
53,73
53,73
23,-20
24,0
25,41
25,41
26,41
26,0
27,0
28,0
29,0
30,0
30,41
30,59
31,59
31,59
32,41
32,41
33,6
34,6
35,6
36,6
36,6
37,6
38,59
38,59
39,23
40,23
40,23
40,97
41,97
41,97
41,97
42,97
42,97
42,59
44,23
44,23
44,23
13,23
14,23
14,23
15,97
16,97
17,23
17,23
18,23
18,23
19,97
19,97
19,-20
19,73
21,-20
21,-20
23,-20
24,-20
25,-20
25,97
26,97
27,97
28,-20
27,73
28,73
28,59
29,59
29,59
30,59
30,73
31,73
31,73
31,73
32,59
33,0
33,0
34,59
34,0
35,0
36,0
37,0
38,0
39,59
41,6
41,6
42,41
42,41
43,6
44,41
44,41
45,6
45,6
46,6
46,6
46,41
47,41
47,41
48,41
48,97
48,97
49,97
49,97
50,41
51,41
51,41
52,41
21,41
22,41
8,23
9,23
9,97
10,97
10,23
10,23
11,23
11,97
11,6
12,23
12,23
12,-20
13,-20
13,6
14,6
14,6
14,6
15,6
15,6
15,-20
16,-20
16,-20
17,0
18,0
19,0
19,0
35,73
22,0
22,0
23,0
37,73
24,-20
24,-20
38,73
39,73
39,59
39,59
40,59
40,59
40,59
41,59
41,73
41,73
42,73
42,59
14,59
14,59
15,73
16,73
16,73
17,73
17,59
18,59
18,59
19,59
19,73
15,0
20,73
16,0
16,0
21,41
21,41
21,41
22,41
22,41
22,41
12,0
10,97
11,97
11,97
12,-20
15,0
16,0
13,97
14,97
15,-20
16,97
16,-20
17,-20
17,-20
17,-20
27,6
28,6
28,6
29,6
29,6
29,23
30,23
30,23
30,23
31,23
31,23
31,6
32,23
35,0
35,0
33,97
33,41
34,-20
34,59
34,73
35,23
35,6
19,6
20,23
20,41
20,0
24,-20
24,59
24,-20
24,59
22,41
22,73
22,97
18,73
19,97
19,6
44,97
43,41
44,0
44,23
47,73
47,59
47,-20
48,6
22,0
20,73
20,59
24,-20
24,23
24,97
25,6
25,41
28,73
25,23
26,97
26,-20
27,6
30,0
31,41
31,59
41,97
41,0
