time_taken,device_id,value
682,033b5620-60a9-49f9-8419-1e79c7c19b97,11
682,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,74
681,94594bd0-4789-4258-981b-c5f8a517c47f,80
687,5167c837-c70b-4a1e-9e88-1d64446b9a01,-20
789,43a50b16-34ca-42f0-998d-835efb291567,72
787,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,5
880,514f5fac-1de6-4b9e-ae0d-069ce0658654,67
875,d564aab8-09d2-4885-95cd-24ff936d635c,False
687,033b5620-60a9-49f9-8419-1e79c7c19b97,30
683,5167c837-c70b-4a1e-9e88-1d64446b9a01,14
696,94594bd0-4789-4258-981b-c5f8a517c47f,97
687,43a50b16-34ca-42f0-998d-835efb291567,58
792,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,6
692,514f5fac-1de6-4b9e-ae0d-069ce0658654,23
791,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,58
702,d564aab8-09d2-4885-95cd-24ff936d635c,False
682,94594bd0-4789-4258-981b-c5f8a517c47f,86
694,033b5620-60a9-49f9-8419-1e79c7c19b97,79
591,43a50b16-34ca-42f0-998d-835efb291567,12
796,5167c837-c70b-4a1e-9e88-1d64446b9a01,45
586,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,84
693,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,93
686,514f5fac-1de6-4b9e-ae0d-069ce0658654,45
689,d564aab8-09d2-4885-95cd-24ff936d635c,True
486,d564aab8-09d2-4885-95cd-24ff936d635c,True
697,43a50b16-34ca-42f0-998d-835efb291567,87
795,033b5620-60a9-49f9-8419-1e79c7c19b97,71
799,94594bd0-4789-4258-981b-c5f8a517c47f,60
787,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,26
789,5167c837-c70b-4a1e-9e88-1d64446b9a01,8
799,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,2
712,514f5fac-1de6-4b9e-ae0d-069ce0658654,91
499,43a50b16-34ca-42f0-998d-835efb291567,11
403,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,5
696,d564aab8-09d2-4885-95cd-24ff936d635c,True
701,94594bd0-4789-4258-981b-c5f8a517c47f,87
704,033b5620-60a9-49f9-8419-1e79c7c19b97,3
595,514f5fac-1de6-4b9e-ae0d-069ce0658654,76
719,5167c837-c70b-4a1e-9e88-1d64446b9a01,47
929,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,97
590,d564aab8-09d2-4885-95cd-24ff936d635c,False
786,43a50b16-34ca-42f0-998d-835efb291567,7
699,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,24
397,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,60
729,514f5fac-1de6-4b9e-ae0d-069ce0658654,77
791,94594bd0-4789-4258-981b-c5f8a517c47f,97
695,5167c837-c70b-4a1e-9e88-1d64446b9a01,27
606,d564aab8-09d2-4885-95cd-24ff936d635c,False
729,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,64
740,43a50b16-34ca-42f0-998d-835efb291567,17
551,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,22
647,033b5620-60a9-49f9-8419-1e79c7c19b97,100
650,514f5fac-1de6-4b9e-ae0d-069ce0658654,64
688,94594bd0-4789-4258-981b-c5f8a517c47f,55
769,5167c837-c70b-4a1e-9e88-1d64446b9a01,-17
509,d564aab8-09d2-4885-95cd-24ff936d635c,False
504,43a50b16-34ca-42f0-998d-835efb291567,38
