time_taken,device_id,value
16,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 74}
23,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 80}
16,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -20}
11,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 11}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 72}
4,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 5}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 67}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 14}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 30}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 97}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 6}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 58}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 23}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 58}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 86}
5,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 79}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 12}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 45}
10,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 93}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 84}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 45}
4,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
9,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 87}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 71}
14,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 60}
12,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 26}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 8}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 2}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 91}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 11}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 5}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
11,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 87}
10,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 3}
9,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 76}
15,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 47}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 97}
4,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
4,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 7}
5,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 24}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 77}
11,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 100}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 60}
14,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 97}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 27}
4,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 17}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 64}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 22}
4,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 100}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 64}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 55}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -17}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
