exeution_time,value
38,15
39,40
40,15
40,57
41,0
42,64
43,4
53,50
36,17
34,80
34,75
35,0
36,90
36,86
40,75
41,-7
38,11
36,19
39,90
40,0
40,93
41,79
41,-1
41,63
34,-1
32,93
32,86
33,0
33,10
33,19
34,100
34,63
40,38
38,14
38,64
39,38
39,0
39,72
40,-1
43,86
42,64
43,95
43,-2
44,0
44,38
44,27
45,65
45,79
25,31
23,39
24,65
24,97
24,0
25,95
28,78
29,47
15,14
12,65
16,0
16,84
17,39
17,31
17,47
17,29
50,-14
48,94
49,37
49,84
50,0
50,37
50,14
51,46
41,46
38,37
38,29
38,0
39,82
39,94
39,-15
44,37
15,29
16,15
16,-15
17,64
18,0
18,71
19,89
30,82
20,27
21,0
18,55
18,0
19,16
19,15
22,50
34,71
20,50
20,55
23,16
26,0
27,8
28,27
28,0
36,26
20,0
19,8
20,27
20,0
21,16
22,26
23,75
24,55
34,100
32,14
32,77
33,99
33,0
33,22
35,3
37,51
30,77
31,22
31,3
32,0
32,99
33,55
33,30
33,100
30,26
28,55
29,30
29,65
30,0
31,46
33,69
34,-5
37,69
35,31
38,0
39,65
39,31
39,26
40,-9
40,95
36,-17
32,37
33,94
33,89
34,0
35,31
36,30
36,95
34,4
33,16
33,9
33,0
34,71
34,37
34,-17
36,94
