time_taken,device_id,value
479,43a50b16-34ca-42f0-998d-835efb291567,70
579,d564aab8-09d2-4885-95cd-24ff936d635c,False
585,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,68
679,033b5620-60a9-49f9-8419-1e79c7c19b97,15
681,5167c837-c70b-4a1e-9e88-1d64446b9a01,50
690,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,40
710,94594bd0-4789-4258-981b-c5f8a517c47f,4
709,514f5fac-1de6-4b9e-ae0d-069ce0658654,15
88,43a50b16-34ca-42f0-998d-835efb291567,64
126,d564aab8-09d2-4885-95cd-24ff936d635c,False
123,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,57
306,033b5620-60a9-49f9-8419-1e79c7c19b97,75
395,5167c837-c70b-4a1e-9e88-1d64446b9a01,-7
387,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,86
368,94594bd0-4789-4258-981b-c5f8a517c47f,75
378,514f5fac-1de6-4b9e-ae0d-069ce0658654,17
151,43a50b16-34ca-42f0-998d-835efb291567,80
170,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,90
172,d564aab8-09d2-4885-95cd-24ff936d635c,True
96,033b5620-60a9-49f9-8419-1e79c7c19b97,11
235,514f5fac-1de6-4b9e-ae0d-069ce0658654,79
249,5167c837-c70b-4a1e-9e88-1d64446b9a01,-1
298,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,19
299,94594bd0-4789-4258-981b-c5f8a517c47f,63
263,43a50b16-34ca-42f0-998d-835efb291567,93
298,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,10
299,d564aab8-09d2-4885-95cd-24ff936d635c,False
203,033b5620-60a9-49f9-8419-1e79c7c19b97,100
177,5167c837-c70b-4a1e-9e88-1d64446b9a01,-1
177,514f5fac-1de6-4b9e-ae0d-069ce0658654,86
295,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,14
293,94594bd0-4789-4258-981b-c5f8a517c47f,38
235,43a50b16-34ca-42f0-998d-835efb291567,72
233,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,38
196,033b5620-60a9-49f9-8419-1e79c7c19b97,64
104,514f5fac-1de6-4b9e-ae0d-069ce0658654,79
106,5167c837-c70b-4a1e-9e88-1d64446b9a01,-2
195,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,27
202,94594bd0-4789-4258-981b-c5f8a517c47f,65
188,43a50b16-34ca-42f0-998d-835efb291567,95
218,d564aab8-09d2-4885-95cd-24ff936d635c,True
218,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,97
251,033b5620-60a9-49f9-8419-1e79c7c19b97,78
186,5167c837-c70b-4a1e-9e88-1d64446b9a01,47
201,514f5fac-1de6-4b9e-ae0d-069ce0658654,31
126,94594bd0-4789-4258-981b-c5f8a517c47f,29
132,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,39
193,43a50b16-34ca-42f0-998d-835efb291567,65
177,d564aab8-09d2-4885-95cd-24ff936d635c,True
242,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,84
248,033b5620-60a9-49f9-8419-1e79c7c19b97,14
280,5167c837-c70b-4a1e-9e88-1d64446b9a01,-14
410,514f5fac-1de6-4b9e-ae0d-069ce0658654,37
285,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,94
292,94594bd0-4789-4258-981b-c5f8a517c47f,46
312,43a50b16-34ca-42f0-998d-835efb291567,37
288,d564aab8-09d2-4885-95cd-24ff936d635c,False
342,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,82
327,033b5620-60a9-49f9-8419-1e79c7c19b97,29
392,5167c837-c70b-4a1e-9e88-1d64446b9a01,-15
349,514f5fac-1de6-4b9e-ae0d-069ce0658654,64
532,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,15
526,94594bd0-4789-4258-981b-c5f8a517c47f,89
502,43a50b16-34ca-42f0-998d-835efb291567,71
385,d564aab8-09d2-4885-95cd-24ff936d635c,False
380,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,16
363,033b5620-60a9-49f9-8419-1e79c7c19b97,50
291,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
222,514f5fac-1de6-4b9e-ae0d-069ce0658654,27
181,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,26
182,94594bd0-4789-4258-981b-c5f8a517c47f,55
151,43a50b16-34ca-42f0-998d-835efb291567,8
208,d564aab8-09d2-4885-95cd-24ff936d635c,True
268,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,16
592,033b5620-60a9-49f9-8419-1e79c7c19b97,75
788,514f5fac-1de6-4b9e-ae0d-069ce0658654,51
903,5167c837-c70b-4a1e-9e88-1d64446b9a01,3
662,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,14
662,94594bd0-4789-4258-981b-c5f8a517c47f,100
690,43a50b16-34ca-42f0-998d-835efb291567,22
587,d564aab8-09d2-4885-95cd-24ff936d635c,False
417,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,99
156,033b5620-60a9-49f9-8419-1e79c7c19b97,77
108,514f5fac-1de6-4b9e-ae0d-069ce0658654,100
255,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,55
291,94594bd0-4789-4258-981b-c5f8a517c47f,30
303,5167c837-c70b-4a1e-9e88-1d64446b9a01,-5
411,43a50b16-34ca-42f0-998d-835efb291567,46
475,d564aab8-09d2-4885-95cd-24ff936d635c,True
496,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,65
439,033b5620-60a9-49f9-8419-1e79c7c19b97,69
306,514f5fac-1de6-4b9e-ae0d-069ce0658654,26
241,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,31
325,94594bd0-4789-4258-981b-c5f8a517c47f,95
312,5167c837-c70b-4a1e-9e88-1d64446b9a01,-9
328,43a50b16-34ca-42f0-998d-835efb291567,31
362,d564aab8-09d2-4885-95cd-24ff936d635c,False
335,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,89
328,033b5620-60a9-49f9-8419-1e79c7c19b97,30
305,514f5fac-1de6-4b9e-ae0d-069ce0658654,94
187,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,37
184,5167c837-c70b-4a1e-9e88-1d64446b9a01,-17
186,94594bd0-4789-4258-981b-c5f8a517c47f,4
106,43a50b16-34ca-42f0-998d-835efb291567,16
251,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,71
251,d564aab8-09d2-4885-95cd-24ff936d635c,False
298,033b5620-60a9-49f9-8419-1e79c7c19b97,9
274,514f5fac-1de6-4b9e-ae0d-069ce0658654,68
401,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,21
394,5167c837-c70b-4a1e-9e88-1d64446b9a01,41
393,94594bd0-4789-4258-981b-c5f8a517c47f,97
279,43a50b16-34ca-42f0-998d-835efb291567,57
224,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,68
280,d564aab8-09d2-4885-95cd-24ff936d635c,False
258,033b5620-60a9-49f9-8419-1e79c7c19b97,80
204,514f5fac-1de6-4b9e-ae0d-069ce0658654,78
113,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,50
184,94594bd0-4789-4258-981b-c5f8a517c47f,9
192,43a50b16-34ca-42f0-998d-835efb291567,47
137,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,65
116,d564aab8-09d2-4885-95cd-24ff936d635c,False
112,033b5620-60a9-49f9-8419-1e79c7c19b97,25
160,514f5fac-1de6-4b9e-ae0d-069ce0658654,17
117,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,94
145,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
145,94594bd0-4789-4258-981b-c5f8a517c47f,46
177,43a50b16-34ca-42f0-998d-835efb291567,76
97,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,49
61,d564aab8-09d2-4885-95cd-24ff936d635c,True
