time_taken,device_id,value
16,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 70}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 68}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 15}
6,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 50}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 40}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 4}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 15}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 64}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 57}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 75}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -7}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 86}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 75}
5,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 17}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 80}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 90}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 11}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -1}
6,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 79}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 19}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 63}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 93}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 10}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
7,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 100}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 86}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -1}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 14}
5,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 38}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 72}
6,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 38}
5,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
8,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 64}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 79}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -2}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 27}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 65}
5,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 95}
5,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 97}
6,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 78}
5,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 47}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 31}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 39}
6,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 29}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 65}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 84}
8,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 14}
