exeution_time,device_id,value
0,ce2210ea-d166-4c17-941d-0596cb56208d,0
0,56e17b1d-e023-4449-981e-4139588ffc9b,0
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,0
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,0
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,0
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,0
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,0
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,23
1,56e17b1d-e023-4449-981e-4139588ffc9b,30
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,54
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,8
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,43
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,97
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,-18
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,11
0,56e17b1d-e023-4449-981e-4139588ffc9b,92
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,89
0,4c6c0714-82ae-4b99-9565-88f366bb48ed,91
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,77
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,5
1,866bafbc-d6d4-4794-bbfe-25ac24c05753,48
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,11
0,56e17b1d-e023-4449-981e-4139588ffc9b,92
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,89
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,91
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,77
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,5
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,48
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,41
1,56e17b1d-e023-4449-981e-4139588ffc9b,95
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,63
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,66
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,100
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,36
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,5
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,14
1,56e17b1d-e023-4449-981e-4139588ffc9b,2
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,29
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,91
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,13
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,85
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,-1
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,46
1,56e17b1d-e023-4449-981e-4139588ffc9b,39
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,99
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,57
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,71
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,36
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,-8
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,11
0,56e17b1d-e023-4449-981e-4139588ffc9b,51
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,43
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,12
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,8
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,21
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,43
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,63
1,56e17b1d-e023-4449-981e-4139588ffc9b,68
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,27
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,91
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,38
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,21
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,39
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,14
0,56e17b1d-e023-4449-981e-4139588ffc9b,64
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,2
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,16
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,73
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,79
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,50
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,67
1,56e17b1d-e023-4449-981e-4139588ffc9b,64
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,2
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,16
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,73
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,79
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,2
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,67
1,56e17b1d-e023-4449-981e-4139588ffc9b,16
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,8
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,2
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,40
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,62
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,2
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,18
0,56e17b1d-e023-4449-981e-4139588ffc9b,55
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,66
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,43
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,18
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,83
1,866bafbc-d6d4-4794-bbfe-25ac24c05753,-8
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,14
0,56e17b1d-e023-4449-981e-4139588ffc9b,75
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,40
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,1
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,89
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,22
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,-7
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,93
1,56e17b1d-e023-4449-981e-4139588ffc9b,50
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,60
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,52
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,38
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,54
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,-8
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,79
0,56e17b1d-e023-4449-981e-4139588ffc9b,50
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,73
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,55
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,39
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,72
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,10
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,10
1,56e17b1d-e023-4449-981e-4139588ffc9b,33
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,63
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,48
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,39
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,72
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,4
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,10
1,56e17b1d-e023-4449-981e-4139588ffc9b,33
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,63
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,48
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,40
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,44
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,4
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,17
0,56e17b1d-e023-4449-981e-4139588ffc9b,44
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,80
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,78
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,73
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,49
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,46
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,47
1,56e17b1d-e023-4449-981e-4139588ffc9b,96
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,93
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,70
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,7
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,60
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,28
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,54
1,56e17b1d-e023-4449-981e-4139588ffc9b,72
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,62
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,75
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,73
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,17
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,35
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,46
1,56e17b1d-e023-4449-981e-4139588ffc9b,17
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,43
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,31
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,34
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,67
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,26
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,59
1,56e17b1d-e023-4449-981e-4139588ffc9b,56
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,95
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,68
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,58
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,67
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,24
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,59
0,56e17b1d-e023-4449-981e-4139588ffc9b,56
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,95
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,68
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,58
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,19
1,866bafbc-d6d4-4794-bbfe-25ac24c05753,24
2,17cbbab5-1a52-4870-aa5b-848623449150,false
