time_taken,device_id,value
112,866bafbc-d6d4-4794-bbfe-25ac24c05753,39
96,ce2210ea-d166-4c17-941d-0596cb56208d,38
98,56e17b1d-e023-4449-981e-4139588ffc9b,42
95,9039ee3d-970b-41a5-a3c3-bdabb1c76354,10
100,4c6c0714-82ae-4b99-9565-88f366bb48ed,59
98,e05f44a3-aecb-495e-a607-ae55ab029b6d,3
96,186eed76-79c5-4129-9c1d-2ba78b6fa353,63
95,17cbbab5-1a52-4870-aa5b-848623449150,False
110,866bafbc-d6d4-4794-bbfe-25ac24c05753,-18
102,ce2210ea-d166-4c17-941d-0596cb56208d,23
105,56e17b1d-e023-4449-981e-4139588ffc9b,30
101,9039ee3d-970b-41a5-a3c3-bdabb1c76354,54
103,4c6c0714-82ae-4b99-9565-88f366bb48ed,8
103,e05f44a3-aecb-495e-a607-ae55ab029b6d,43
103,186eed76-79c5-4129-9c1d-2ba78b6fa353,97
105,17cbbab5-1a52-4870-aa5b-848623449150,False
92,866bafbc-d6d4-4794-bbfe-25ac24c05753,48
100,ce2210ea-d166-4c17-941d-0596cb56208d,11
97,56e17b1d-e023-4449-981e-4139588ffc9b,92
97,9039ee3d-970b-41a5-a3c3-bdabb1c76354,89
93,4c6c0714-82ae-4b99-9565-88f366bb48ed,91
90,e05f44a3-aecb-495e-a607-ae55ab029b6d,77
96,186eed76-79c5-4129-9c1d-2ba78b6fa353,5
462,17cbbab5-1a52-4870-aa5b-848623449150,True
94,866bafbc-d6d4-4794-bbfe-25ac24c05753,5
94,ce2210ea-d166-4c17-941d-0596cb56208d,41
91,56e17b1d-e023-4449-981e-4139588ffc9b,95
92,9039ee3d-970b-41a5-a3c3-bdabb1c76354,63
94,4c6c0714-82ae-4b99-9565-88f366bb48ed,66
99,e05f44a3-aecb-495e-a607-ae55ab029b6d,100
97,186eed76-79c5-4129-9c1d-2ba78b6fa353,36
91,17cbbab5-1a52-4870-aa5b-848623449150,False
93,866bafbc-d6d4-4794-bbfe-25ac24c05753,-1
95,ce2210ea-d166-4c17-941d-0596cb56208d,14
93,56e17b1d-e023-4449-981e-4139588ffc9b,2
106,9039ee3d-970b-41a5-a3c3-bdabb1c76354,29
96,4c6c0714-82ae-4b99-9565-88f366bb48ed,91
101,e05f44a3-aecb-495e-a607-ae55ab029b6d,13
96,186eed76-79c5-4129-9c1d-2ba78b6fa353,85
101,17cbbab5-1a52-4870-aa5b-848623449150,False
125,866bafbc-d6d4-4794-bbfe-25ac24c05753,-8
92,ce2210ea-d166-4c17-941d-0596cb56208d,46
114,56e17b1d-e023-4449-981e-4139588ffc9b,39
100,9039ee3d-970b-41a5-a3c3-bdabb1c76354,99
94,4c6c0714-82ae-4b99-9565-88f366bb48ed,57
99,e05f44a3-aecb-495e-a607-ae55ab029b6d,71
91,186eed76-79c5-4129-9c1d-2ba78b6fa353,36
106,17cbbab5-1a52-4870-aa5b-848623449150,False
95,866bafbc-d6d4-4794-bbfe-25ac24c05753,43
94,ce2210ea-d166-4c17-941d-0596cb56208d,11
91,56e17b1d-e023-4449-981e-4139588ffc9b,51
95,9039ee3d-970b-41a5-a3c3-bdabb1c76354,43
