time_taken,device_id,value
11,866bafbc-d6d4-4794-bbfe-25ac24c05753,{'temperature': 39}
7,ce2210ea-d166-4c17-941d-0596cb56208d,{'brightness': 38}
5,56e17b1d-e023-4449-981e-4139588ffc9b,{'brightness': 42}
6,9039ee3d-970b-41a5-a3c3-bdabb1c76354,{'brightness': 10}
6,4c6c0714-82ae-4b99-9565-88f366bb48ed,{'brightness': 59}
6,e05f44a3-aecb-495e-a607-ae55ab029b6d,{'brightness': 3}
5,186eed76-79c5-4129-9c1d-2ba78b6fa353,{'brightness': 63}
6,17cbbab5-1a52-4870-aa5b-848623449150,{'on': False}
9,866bafbc-d6d4-4794-bbfe-25ac24c05753,{'temperature': -18}
7,ce2210ea-d166-4c17-941d-0596cb56208d,{'brightness': 23}
7,56e17b1d-e023-4449-981e-4139588ffc9b,{'brightness': 30}
7,9039ee3d-970b-41a5-a3c3-bdabb1c76354,{'brightness': 54}
8,4c6c0714-82ae-4b99-9565-88f366bb48ed,{'brightness': 8}
7,e05f44a3-aecb-495e-a607-ae55ab029b6d,{'brightness': 43}
6,186eed76-79c5-4129-9c1d-2ba78b6fa353,{'brightness': 97}
6,17cbbab5-1a52-4870-aa5b-848623449150,{'on': False}
7,866bafbc-d6d4-4794-bbfe-25ac24c05753,{'temperature': 48}
7,ce2210ea-d166-4c17-941d-0596cb56208d,{'brightness': 11}
7,56e17b1d-e023-4449-981e-4139588ffc9b,{'brightness': 92}
8,9039ee3d-970b-41a5-a3c3-bdabb1c76354,{'brightness': 89}
7,4c6c0714-82ae-4b99-9565-88f366bb48ed,{'brightness': 91}
8,e05f44a3-aecb-495e-a607-ae55ab029b6d,{'brightness': 77}
9,186eed76-79c5-4129-9c1d-2ba78b6fa353,{'brightness': 5}
7,17cbbab5-1a52-4870-aa5b-848623449150,{'on': True}
6,866bafbc-d6d4-4794-bbfe-25ac24c05753,{'temperature': 5}
6,ce2210ea-d166-4c17-941d-0596cb56208d,{'brightness': 41}
6,56e17b1d-e023-4449-981e-4139588ffc9b,{'brightness': 95}
7,9039ee3d-970b-41a5-a3c3-bdabb1c76354,{'brightness': 63}
8,4c6c0714-82ae-4b99-9565-88f366bb48ed,{'brightness': 66}
8,e05f44a3-aecb-495e-a607-ae55ab029b6d,{'brightness': 100}
8,186eed76-79c5-4129-9c1d-2ba78b6fa353,{'brightness': 36}
8,17cbbab5-1a52-4870-aa5b-848623449150,{'on': False}
6,866bafbc-d6d4-4794-bbfe-25ac24c05753,{'temperature': -1}
7,ce2210ea-d166-4c17-941d-0596cb56208d,{'brightness': 14}
7,56e17b1d-e023-4449-981e-4139588ffc9b,{'brightness': 2}
6,9039ee3d-970b-41a5-a3c3-bdabb1c76354,{'brightness': 29}
6,4c6c0714-82ae-4b99-9565-88f366bb48ed,{'brightness': 91}
6,e05f44a3-aecb-495e-a607-ae55ab029b6d,{'brightness': 13}
9,186eed76-79c5-4129-9c1d-2ba78b6fa353,{'brightness': 85}
8,17cbbab5-1a52-4870-aa5b-848623449150,{'on': False}
6,866bafbc-d6d4-4794-bbfe-25ac24c05753,{'temperature': -8}
7,ce2210ea-d166-4c17-941d-0596cb56208d,{'brightness': 46}
6,56e17b1d-e023-4449-981e-4139588ffc9b,{'brightness': 39}
6,9039ee3d-970b-41a5-a3c3-bdabb1c76354,{'brightness': 99}
6,4c6c0714-82ae-4b99-9565-88f366bb48ed,{'brightness': 57}
6,e05f44a3-aecb-495e-a607-ae55ab029b6d,{'brightness': 71}
6,186eed76-79c5-4129-9c1d-2ba78b6fa353,{'brightness': 36}
7,17cbbab5-1a52-4870-aa5b-848623449150,{'on': False}
7,866bafbc-d6d4-4794-bbfe-25ac24c05753,{'temperature': 43}
7,ce2210ea-d166-4c17-941d-0596cb56208d,{'brightness': 11}
7,56e17b1d-e023-4449-981e-4139588ffc9b,{'brightness': 51}
6,9039ee3d-970b-41a5-a3c3-bdabb1c76354,{'brightness': 43}
6,4c6c0714-82ae-4b99-9565-88f366bb48ed,{'brightness': 12}
5,e05f44a3-aecb-495e-a607-ae55ab029b6d,{'brightness': 8}
6,186eed76-79c5-4129-9c1d-2ba78b6fa353,{'brightness': 21}
6,17cbbab5-1a52-4870-aa5b-848623449150,{'on': False}
6,866bafbc-d6d4-4794-bbfe-25ac24c05753,{'temperature': 39}
6,ce2210ea-d166-4c17-941d-0596cb56208d,{'brightness': 63}
6,56e17b1d-e023-4449-981e-4139588ffc9b,{'brightness': 68}
7,9039ee3d-970b-41a5-a3c3-bdabb1c76354,{'brightness': 27}
6,4c6c0714-82ae-4b99-9565-88f366bb48ed,{'brightness': 91}
7,e05f44a3-aecb-495e-a607-ae55ab029b6d,{'brightness': 38}
8,186eed76-79c5-4129-9c1d-2ba78b6fa353,{'brightness': 21}
15,17cbbab5-1a52-4870-aa5b-848623449150,{'on': False}
