exeution_time,value
51,0
51,550
52,550
48,550
49,550
53,550
50,550
50,23
30,23
31,550
31,550
32,550
32,550
32,0
32,550
33,550
18,23
15,0
34,550
32,550
33,550
36,550
33,550
37,550
17,23
17,550
18,550
18,550
18,550
19,550
19,550
19,0
17,550
16,550
17,550
17,550
18,550
20,23
21,0
21,550
45,0
45,23
45,550
46,550
47,550
47,550
48,550
48,550
33,550
31,550
32,550
32,550
32,550
35,0
35,550
36,23
34,551
35,0
35,551
36,551
36,551
36,551
36,23
37,551
34,23
32,551
32,551
33,551
33,551
36,551
37,551
37,0
44,551
45,551
45,551
46,551
46,551
47,23
47,0
47,551
16,551
17,551
17,23
20,0
18,551
20,551
21,551
21,551
34,23
35,0
35,551
36,551
36,551
36,551
37,551
37,551
34,551
32,551
32,0
32,551
33,551
36,551
36,23
37,551
19,23
19,551
20,551
20,551
21,551
21,551
21,551
21,0
56,551
54,551
54,551
54,551
55,551
58,551
58,0
59,23
16,0
17,23
18,551
18,551
18,551
19,551
19,551
20,551
16,23
17,551
18,0
18,551
16,551
16,551
16,551
17,551
17,551
18,0
19,551
19,551
19,551
20,551
20,23
20,551
34,23
35,0
35,551
33,551
36,551
33,551
34,551
34,551
35,551
35,551
36,551
36,551
36,551
37,23
37,0
37,551
34,0
32,551
32,23
34,551
35,551
37,551
37,551
38,551
49,551
49,551
49,551
50,551
50,551
50,0
51,551
51,23
16,551
15,551
15,0
16,551
16,551
18,551
19,23
19,551
25,23
26,554
26,554
27,554
27,554
28,554
28,554
29,0
22,554
20,554
20,554
21,554
21,554
24,23
24,0
25,554
23,0
23,23
24,554
24,554
25,554
25,554
25,554
26,554
29,23
27,554
27,554
30,0
28,554
31,554
31,554
28,554
29,554
30,0
30,554
31,554
31,554
31,554
32,23
32,554
14,23
11,554
12,554
12,554
13,554
16,554
16,554
16,0
30,554
31,554
31,554
32,554
32,554
32,23
33,0
33,554
44,0
42,554
42,23
42,554
44,554
46,554
46,554
47,554
28,554
28,554
29,554
29,554
30,554
30,0
30,554
31,23
32,554
30,554
30,0
30,554
32,554
34,554
34,23
45,554
26,23
27,554
27,554
28,554
28,0
28,554
29,554
40,554
46,554
44,554
44,554
44,554
45,554
48,23
49,0
49,554
44,0
45,23
45,554
46,554
46,554
46,554
46,554
47,554
18,554
15,554
16,554
16,554
17,554
20,0
21,554
21,23
14,554
15,0
16,554
16,554
16,554
17,554
17,23
17,554
30,23
28,554
28,554
29,554
29,554
33,554
33,554
33,0
47,554
47,554
48,554
48,554
48,554
49,23
49,0
49,554
44,0
42,562
43,23
43,562
43,562
46,562
46,562
46,562
44,23
45,0
45,562
46,562
46,562
46,562
47,562
47,562
38,562
39,23
39,562
35,562
36,562
40,562
36,0
36,562
40,23
41,562
41,562
41,562
42,562
42,562
42,0
42,562
31,562
30,562
30,562
30,562
30,562
33,23
33,0
33,562
23,0
23,23
23,562
23,562
24,562
24,562
25,562
37,562
16,23
17,0
17,562
15,562
15,562
15,562
19,562
16,562
16,23
17,0
17,562
17,562
18,562
33,562
34,562
34,562
48,23
46,562
46,562
50,0
47,562
51,562
51,562
48,562
49,562
49,562
49,562
49,562
49,562
50,23
50,0
50,562
44,0
42,562
42,23
43,562
43,562
46,562
46,562
47,562
51,562
52,562
52,562
53,562
53,562
53,0
54,562
54,23
16,562
14,562
14,0
15,562
15,562
18,562
18,23
19,562
43,23
44,567
44,567
45,567
45,567
45,567
45,567
46,0
34,567
33,567
33,567
33,567
34,567
36,23
36,0
37,567
16,0
16,23
17,567
17,567
18,567
18,567
18,567
19,567
17,567
15,567
16,567
16,567
16,567
19,0
19,567
19,23
38,23
39,0
39,567
40,567
40,567
40,567
41,567
41,567
32,23
30,567
31,567
31,567
32,567
34,567
35,567
35,0
