time_taken,device_id,value
125,5167c837-c70b-4a1e-9e88-1d64446b9a01,23
108,033b5620-60a9-49f9-8419-1e79c7c19b97,550
111,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,550
118,43a50b16-34ca-42f0-998d-835efb291567,550
118,94594bd0-4789-4258-981b-c5f8a517c47f,550
128,514f5fac-1de6-4b9e-ae0d-069ce0658654,550
131,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,550
118,d564aab8-09d2-4885-95cd-24ff936d635c,True
97,5167c837-c70b-4a1e-9e88-1d64446b9a01,23
111,033b5620-60a9-49f9-8419-1e79c7c19b97,550
106,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,550
101,43a50b16-34ca-42f0-998d-835efb291567,550
99,94594bd0-4789-4258-981b-c5f8a517c47f,550
107,514f5fac-1de6-4b9e-ae0d-069ce0658654,550
104,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,550
100,d564aab8-09d2-4885-95cd-24ff936d635c,True
103,5167c837-c70b-4a1e-9e88-1d64446b9a01,23
105,033b5620-60a9-49f9-8419-1e79c7c19b97,550
139,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,550
553,43a50b16-34ca-42f0-998d-835efb291567,550
96,94594bd0-4789-4258-981b-c5f8a517c47f,550
109,514f5fac-1de6-4b9e-ae0d-069ce0658654,550
95,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,550
119,d564aab8-09d2-4885-95cd-24ff936d635c,True
121,5167c837-c70b-4a1e-9e88-1d64446b9a01,23
288,033b5620-60a9-49f9-8419-1e79c7c19b97,550
98,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,550
104,43a50b16-34ca-42f0-998d-835efb291567,550
110,94594bd0-4789-4258-981b-c5f8a517c47f,550
102,514f5fac-1de6-4b9e-ae0d-069ce0658654,550
117,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,550
143,d564aab8-09d2-4885-95cd-24ff936d635c,True
95,5167c837-c70b-4a1e-9e88-1d64446b9a01,23
96,033b5620-60a9-49f9-8419-1e79c7c19b97,550
104,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,550
101,43a50b16-34ca-42f0-998d-835efb291567,550
94,94594bd0-4789-4258-981b-c5f8a517c47f,550
95,514f5fac-1de6-4b9e-ae0d-069ce0658654,550
107,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,550
92,d564aab8-09d2-4885-95cd-24ff936d635c,True
122,5167c837-c70b-4a1e-9e88-1d64446b9a01,23
98,033b5620-60a9-49f9-8419-1e79c7c19b97,550
104,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,550
100,43a50b16-34ca-42f0-998d-835efb291567,550
100,94594bd0-4789-4258-981b-c5f8a517c47f,550
110,514f5fac-1de6-4b9e-ae0d-069ce0658654,550
113,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,550
524,d564aab8-09d2-4885-95cd-24ff936d635c,True
100,5167c837-c70b-4a1e-9e88-1d64446b9a01,23
114,033b5620-60a9-49f9-8419-1e79c7c19b97,551
