exeution_time,device_id,value
0,033b5620-60a9-49f9-8419-1e79c7c19b97,0
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,0
2,43a50b16-34ca-42f0-998d-835efb291567,0
2,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,0
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,0
1,43a50b16-34ca-42f0-998d-835efb291567,0
2,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
3,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
4,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
5,d564aab8-09d2-4885-95cd-24ff936d635c,false
1,033b5620-60a9-49f9-8419-1e79c7c19b97,16
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,61
1,43a50b16-34ca-42f0-998d-835efb291567,69
1,94594bd0-4789-4258-981b-c5f8a517c47f,20
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,44
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,81
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-5
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,16
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,61
1,43a50b16-34ca-42f0-998d-835efb291567,69
2,94594bd0-4789-4258-981b-c5f8a517c47f,20
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,44
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,81
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,-5
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,95
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,63
1,43a50b16-34ca-42f0-998d-835efb291567,10
1,94594bd0-4789-4258-981b-c5f8a517c47f,99
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,34
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,52
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,44
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,95
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,63
1,43a50b16-34ca-42f0-998d-835efb291567,10
1,94594bd0-4789-4258-981b-c5f8a517c47f,99
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,34
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,89
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,44
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,78
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,74
1,43a50b16-34ca-42f0-998d-835efb291567,20
1,94594bd0-4789-4258-981b-c5f8a517c47f,76
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,96
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,62
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,3
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,9
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,74
1,43a50b16-34ca-42f0-998d-835efb291567,20
1,94594bd0-4789-4258-981b-c5f8a517c47f,76
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,96
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,62
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,6
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,9
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,8
1,43a50b16-34ca-42f0-998d-835efb291567,88
1,94594bd0-4789-4258-981b-c5f8a517c47f,26
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,91
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,61
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,6
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,62
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,82
1,43a50b16-34ca-42f0-998d-835efb291567,88
1,94594bd0-4789-4258-981b-c5f8a517c47f,26
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,91
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,61
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,33
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,62
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,82
1,43a50b16-34ca-42f0-998d-835efb291567,95
1,94594bd0-4789-4258-981b-c5f8a517c47f,1
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,82
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,80
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,33
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,62
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,82
1,43a50b16-34ca-42f0-998d-835efb291567,95
1,94594bd0-4789-4258-981b-c5f8a517c47f,1
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,82
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,80
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,33
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,65
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,49
1,43a50b16-34ca-42f0-998d-835efb291567,83
1,94594bd0-4789-4258-981b-c5f8a517c47f,99
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,33
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,43
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-11
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,87
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,49
1,43a50b16-34ca-42f0-998d-835efb291567,83
1,94594bd0-4789-4258-981b-c5f8a517c47f,99
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,33
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,43
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,48
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,87
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,100
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,62
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,16
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,70
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,48
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,17
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,90
1,43a50b16-34ca-42f0-998d-835efb291567,77
1,94594bd0-4789-4258-981b-c5f8a517c47f,62
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,16
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,70
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-14
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,17
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,90
1,43a50b16-34ca-42f0-998d-835efb291567,77
1,94594bd0-4789-4258-981b-c5f8a517c47f,77
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,84
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,48
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-14
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,62
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,14
1,43a50b16-34ca-42f0-998d-835efb291567,85
1,94594bd0-4789-4258-981b-c5f8a517c47f,24
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,5
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,23
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-4
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,62
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,14
0,43a50b16-34ca-42f0-998d-835efb291567,85
1,94594bd0-4789-4258-981b-c5f8a517c47f,24
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,5
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,23
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,-4
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,13
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,62
1,43a50b16-34ca-42f0-998d-835efb291567,60
1,94594bd0-4789-4258-981b-c5f8a517c47f,37
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,16
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,86
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-4
3,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,13
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,62
1,43a50b16-34ca-42f0-998d-835efb291567,60
1,94594bd0-4789-4258-981b-c5f8a517c47f,37
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,16
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,86
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-14
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,90
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,79
1,43a50b16-34ca-42f0-998d-835efb291567,1
1,94594bd0-4789-4258-981b-c5f8a517c47f,17
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,19
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-14
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,90
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,79
0,43a50b16-34ca-42f0-998d-835efb291567,1
1,94594bd0-4789-4258-981b-c5f8a517c47f,17
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,19
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-14
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,89
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,21
1,43a50b16-34ca-42f0-998d-835efb291567,100
1,94594bd0-4789-4258-981b-c5f8a517c47f,91
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,23
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,65
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,47
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,79
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,21
1,43a50b16-34ca-42f0-998d-835efb291567,100
1,94594bd0-4789-4258-981b-c5f8a517c47f,91
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,23
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,65
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,8
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,79
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,86
1,43a50b16-34ca-42f0-998d-835efb291567,65
1,94594bd0-4789-4258-981b-c5f8a517c47f,18
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,92
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,8
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,19
