time_taken,device_id,value
2236,5167c837-c70b-4a1e-9e88-1d64446b9a01,-13
495,033b5620-60a9-49f9-8419-1e79c7c19b97,80
800,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,71
530,43a50b16-34ca-42f0-998d-835efb291567,70
364,94594bd0-4789-4258-981b-c5f8a517c47f,24
299,514f5fac-1de6-4b9e-ae0d-069ce0658654,30
179,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,52
183,d564aab8-09d2-4885-95cd-24ff936d635c,True
166,5167c837-c70b-4a1e-9e88-1d64446b9a01,44
210,033b5620-60a9-49f9-8419-1e79c7c19b97,95
141,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,63
98,43a50b16-34ca-42f0-998d-835efb291567,10
108,94594bd0-4789-4258-981b-c5f8a517c47f,99
101,514f5fac-1de6-4b9e-ae0d-069ce0658654,34
112,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,89
97,d564aab8-09d2-4885-95cd-24ff936d635c,True
93,5167c837-c70b-4a1e-9e88-1d64446b9a01,3
92,033b5620-60a9-49f9-8419-1e79c7c19b97,78
97,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,74
90,43a50b16-34ca-42f0-998d-835efb291567,20
109,94594bd0-4789-4258-981b-c5f8a517c47f,76
134,514f5fac-1de6-4b9e-ae0d-069ce0658654,96
94,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,62
116,d564aab8-09d2-4885-95cd-24ff936d635c,False
86,5167c837-c70b-4a1e-9e88-1d64446b9a01,6
89,033b5620-60a9-49f9-8419-1e79c7c19b97,9
93,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,8
87,43a50b16-34ca-42f0-998d-835efb291567,88
96,94594bd0-4789-4258-981b-c5f8a517c47f,26
88,514f5fac-1de6-4b9e-ae0d-069ce0658654,91
90,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,61
88,d564aab8-09d2-4885-95cd-24ff936d635c,True
109,5167c837-c70b-4a1e-9e88-1d64446b9a01,33
130,033b5620-60a9-49f9-8419-1e79c7c19b97,62
176,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,82
130,43a50b16-34ca-42f0-998d-835efb291567,95
181,94594bd0-4789-4258-981b-c5f8a517c47f,1
477,514f5fac-1de6-4b9e-ae0d-069ce0658654,82
207,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,80
