time_taken,device_id,value
1641,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 70}
13,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 24}
13,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 30}
13,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 52}
28,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
29,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 44}
11,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 95}
9,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 63}
10,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 10}
11,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 99}
11,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 34}
9,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 89}
10,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
9,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 3}
9,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 78}
9,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 74}
12,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 20}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 76}
9,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 96}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 62}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': False}
9,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 6}
8,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 9}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 8}
8,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 88}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 26}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 91}
6,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 61}
8,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
10,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 33}
8,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 62}
7,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 82}
9,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 95}
7,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 1}
7,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 82}
7,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 80}
8,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
7,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': -11}
6,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 65}
9,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 49}
6,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 83}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 99}
10,514f5fac-1de6-4b9e-ae0d-069ce0658654,{'brightness': 33}
8,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,{'brightness': 43}
7,d564aab8-09d2-4885-95cd-24ff936d635c,{'on': True}
8,5167c837-c70b-4a1e-9e88-1d64446b9a01,{'temperature': 48}
11,033b5620-60a9-49f9-8419-1e79c7c19b97,{'brightness': 87}
8,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,{'brightness': 100}
7,43a50b16-34ca-42f0-998d-835efb291567,{'brightness': 0}
8,94594bd0-4789-4258-981b-c5f8a517c47f,{'brightness': 62}
